probe,p_val,t_stat,p_adj
203382_s_at,8.686658595674319e-31,16.55909759034409,9.263737280588317e-30
215049_x_at,8.71311671067745e-31,15.939227245377877,9.263737280588317e-30
226676_at,9.42101897405828e-31,15.501823809308306,9.94729658571257e-30
201149_s_at,9.540885600695997e-31,16.77579617320109,1.0004860174428473e-29
213316_at,9.845101331443527e-31,17.74600231306068,1.025363954995921e-29
218468_s_at,1.0691417555649547e-30,15.658108757670986,1.1059838025472606e-29
220272_at,1.246975482274539e-30,17.677479436188133,1.2812882304445095e-29
203645_s_at,1.310304721679857e-30,15.595107385629863,1.337384352594574e-29
229554_at,1.4691055278391481e-30,15.924969407111073,1.4895367967693613e-29
227623_at,1.5312967566080606e-30,17.729026858643643,1.5423785094519346e-29
226225_at,1.819264605158661e-30,16.563085606658028,1.820453666992098e-29
210809_s_at,1.9141446948612057e-30,15.710770179883923,1.902958134956173e-29
227235_at,2.885044901197699e-30,16.0452458371033,2.8496798346668883e-29
226425_at,3.1176082292229702e-30,17.37192996099167,3.0596526916284403e-29
218469_at,3.270777107961705e-30,15.324519485275934,3.1895285046429113e-29
221276_s_at,3.494600659842235e-30,16.911739372218456,3.386223803935735e-29
204940_at,4.011879584967923e-30,17.889602896552756,3.8630110972238304e-29
204438_at,5.298146365747492e-30,15.120115984579371,5.069663803724632e-29
225688_s_at,5.737395128727467e-30,15.010062262030806,5.45587077147935e-29
211555_s_at,6.0035326204625944e-30,16.385674296612287,5.673708914770514e-29
221747_at,6.469954040276419e-30,17.61540300950498,6.076993641511163e-29
209955_s_at,8.353255366740282e-30,14.856327513215957,7.798069491755715e-29
209655_s_at,1.2001138059332369e-29,16.321201098943728,1.1135601435659307e-28
226084_at,1.2999305186378548e-29,15.6155534016511,1.1989118217075638e-28
225381_at,1.3457995051950158e-29,18.57003584245674,1.2337838577566282e-28
227140_at,1.3694505869355156e-29,14.893253890215144,1.2479933622608776e-28
205529_s_at,1.4709886848740535e-29,16.96069404953501,1.327448485069148e-28
227705_at,1.4739793759748867e-29,16.873231837197302,1.327448485069148e-28
209687_at,1.4858868647789555e-29,15.108177044920623,1.330346660805018e-28
202207_at,1.6008902156206264e-29,14.687287532286897,1.4249784419274296e-28
228850_s_at,1.7137406477816695e-29,16.514044033505822,1.5166109432102521e-28
227236_at,1.9599526400167472e-29,15.364382481315987,1.724533041302092e-28
1554127_s_at,1.989726708487569e-29,17.68471858318412,1.7407266232539818e-28
215446_s_at,2.0627117808290727e-29,14.990708947370946,1.79432485025529e-28
229218_at,2.1000666535209298e-29,14.768628865714165,1.8164983313788382e-28
219213_at,2.554315685338879e-29,16.290485216634423,2.1969984911538332e-28
224396_s_at,3.966155878090135e-29,17.0241514068854,3.3922819270145233e-28
202437_s_at,4.038193939973754e-29,18.338251393993268,3.416672951790866e-28
203305_at,4.039306363645635e-29,15.934449001046998,3.416672951790866e-28
214511_x_at,4.300075099176518e-29,16.36970439710557,3.600317217657475e-28
226695_at,4.3034490583364985e-29,14.500831627984338,3.600317217657475e-28
204463_s_at,4.704987605165058e-29,14.866113832178852,3.914856534515056e-28
204030_s_at,5.487197706813033e-29,16.100665388449546,4.541026858989596e-28
202206_at,5.665846615604511e-29,14.482464500811293,4.663661918543282e-28
