probesets,p_val,t_stat,p_adj
220486_x_at,2.7642043543245825e-4,-3.747754260214122,0.0010235444611411328
227067_x_at,2.7645057477164095e-4,3.777189338717929,0.0010235706512717203
215710_at,2.7656320525659884e-4,-3.7368670695272783,0.0010239022387169676
229543_at,2.766326485901624e-4,3.767045140251867,0.0010240738951521194
208179_x_at,2.767616081056569e-4,-3.7601663731129134,0.0010244658291365136
225868_at,2.769237477054912e-4,3.7366597691790617,0.0010249805075011405
236151_at,2.7701878826134137e-4,-3.7448306831222204,0.0010252467663967493
233009_at,2.77465209953195e-4,-3.7362686279272905,0.0010268133343068159
218043_s_at,0.00027767819858855734,3.735670971760484,0.001027515849096667
222091_at,2.777248988183374e-4,-3.740741741899089,0.0010276029671528158
212109_at,2.777696977231972e-4,-3.7358615078838535,0.0010276830362236848
203092_at,2.780031195928432e-4,-3.741320485496232,0.0010284608947004933
1568919_at,2.7809946133243874e-4,-3.735205456798505,0.0010287315435667697
217643_x_at,2.7825808789282456e-4,3.766530979856201,0.0010292325289859205
234274_at,2.7840439481030863e-4,-3.73832723389633,0.001029687866286668
1565825_at,2.7859966628969945e-4,-3.7407255779531265,0.0010303242096512553
228716_at,2.7867226758194065e-4,3.752173397033743,0.0010305068228290512
203628_at,2.788098915500083e-4,3.744726437795272,0.001030859308975054
226086_at,2.7881404904379935e-4,-3.767759807983244,0.001030859308975054
222050_at,2.7948628752783787e-4,-3.7438800243352035,0.0010332586860824632
202514_at,2.7977283950695307e-4,-3.739427038633506,0.001034231902126045
238441_at,2.798356938424448e-4,3.7707139301589785,0.0010343780853193242
224917_at,2.8008647426264253e-4,3.737856219156995,0.0010352188318677963
225836_s_at,2.801627845859504e-4,-3.749096498480125,0.0010354146386275962
216535_at,2.803452467194314e-4,-3.7430718322918004,0.0010360026918033618
241827_at,2.8042245956414683e-4,3.7332133920087034,0.0010362017356281969
213531_s_at,2.8046958265887074e-4,3.7328987198363497,0.0010362895695659774
217275_at,2.8052203250665856e-4,-3.7419692619256413,0.0010363970687272477
203162_s_at,2.8059676333272183e-4,-3.7402681654017744,0.0010365868608799144
217398_x_at,2.806968195067436e-4,-3.755185452746645,0.0010368701711156037
217498_at,2.8072362168271185e-4,-3.733200268257273,0.001036882862674408
226520_at,2.816914023165314e-4,-3.740484709718925,0.001040370867898134
207711_at,2.817611554416239e-4,3.756896372982574,0.0010405418835487733
213927_at,2.8186530436364563e-4,-3.768791932868346,0.0010408398835929746
225160_x_at,2.8223018488625974e-4,-3.741762681868324,0.0010421005536967694
212056_at,2.82381930034595e-4,-3.745931948456718,0.0010425741031105046
1564264_at,2.825053976733028e-4,-3.740423438977263,0.0010429431798463238
221508_at,2.8263340587561596e-4,-3.737960314120536,0.0010433289564703817
217839_at,2.827347102918366e-4,-3.7441001388687214,0.0010436161012477333
1554915_a_at,2.830714466988536e-4,-3.7438601320450897,0.0010447721406688538
